"Travel motives";"Population";"Travel modes";"Margins";"Region characteristics";"Periods";"Average per person per day/Trips (number)";"Average per person per day/Distance travelled                       (passenger kilometres )";"Average per person per day/Time travelled                           (minutes)"
"Total";"Population 6 years or older";"Total";"Value";"The Netherlands";"2018";2,78;36,16;74,6
"Total";"Population 6 years or older";"Total";"Value";"The Netherlands";"2019";2,71;36;74,39
"Total";"Population 6 years or older";"Total";"Value";"The Netherlands";"2020";2,35;24,88;61,96
"Total";"Population 6 years or older";"Total";"Value";"The Netherlands";"2021";2,51;27,24;69,85
"Total";"Population 6 years or older";"Total";"Value";"The Netherlands";"2022";2,7;30,21;72,69
"Total";"Population 6 years or older";"Total";"Value";"The Netherlands";"2023";2,72;31,97;73,51
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2018";0,96;18,16;24,52
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2019";0,95;18,02;24,52
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2020";0,81;13,14;18,63
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2021";0,82;14,05;19,99
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2022";0,87;15,13;21,44
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2023";0,91;16,12;22,72
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2018";0,32;6,66;9,28
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2019";0,31;6,65;9,38
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2020";0,24;4,37;6,66
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2021";0,26;5,1;7,81
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2022";0,28;5,46;8,12
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2023";0,3;6,04;8,72
"Total";"Population 6 years or older";"Train";"Value";"The Netherlands";"2018";0,08;3,88;6,11
"Total";"Population 6 years or older";"Train";"Value";"The Netherlands";"2019";0,08;4,08;6,39
"Total";"Population 6 years or older";"Train";"Value";"The Netherlands";"2020";0,03;1,6;2,53
"Total";"Population 6 years or older";"Train";"Value";"The Netherlands";"2021";0,03;1,67;2,77
"Total";"Population 6 years or older";"Train";"Value";"The Netherlands";"2022";0,05;2,62;4,25
"Total";"Population 6 years or older";"Train";"Value";"The Netherlands";"2023";0,07;3,26;5,3
"Total";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2018";0,08;1,08;3,24
"Total";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2019";0,07;1,06;3,22
"Total";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2020";0,04;0,48;1,5
"Total";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2021";0,04;0,54;1,73
"Total";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2022";0,06;0,79;2,53
"Total";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2023";0,06;0,83;2,63
"Total";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2018";0,79;3,16;16,46
"Total";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2019";0,76;3,01;16,26
"Total";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2020";0,63;2,61;14,74
"Total";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2021";0,64;2,68;15,18
"Total";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2022";0,75;3,04;16,72
"Total";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2023";0,73;2,92;15,81
"Total";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2018";0,44;0,9;11,23
"Total";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2019";0,43;0,88;10,92
"Total";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2020";0,52;1,12;15,06
"Total";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2021";0,61;1,38;18,82
"Total";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2022";0,58;1,21;16,25
"Total";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2023";0,56;1,14;15,3
"Total";"Population 6 years or older";"Other";"Value";"The Netherlands";"2018";0,11;2,32;3,76
"Total";"Population 6 years or older";"Other";"Value";"The Netherlands";"2019";0,11;2,3;3,7
"Total";"Population 6 years or older";"Other";"Value";"The Netherlands";"2020";0,09;1,55;2,84
"Total";"Population 6 years or older";"Other";"Value";"The Netherlands";"2021";0,1;1,81;3,55
"Total";"Population 6 years or older";"Other";"Value";"The Netherlands";"2022";0,11;1,97;3,39
"Total";"Population 6 years or older";"Other";"Value";"The Netherlands";"2023";0,1;1,67;3,03
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"The Netherlands";"2018";0,55;10,55;16,24
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"The Netherlands";"2019";0,5;9,72;15,1
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"The Netherlands";"2020";0,37;6,16;9,66
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"The Netherlands";"2021";0,37;6,13;9,59
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"The Netherlands";"2022";0,42;7,4;11,74
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"The Netherlands";"2023";0,44;7,98;12,73
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2018";0,27;6,79;8,33
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2019";0,25;6,2;7,59
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2020";0,19;4,37;5,34
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2021";0,19;4,33;5,24
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2022";0,21;4,9;6,11
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2023";0,21;5,24;6,54
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2018";0,02;0,41;0,55
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2019";0,01;0,38;0,47
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2020";0,01;0,21;0,3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2021";0,01;0,23;0,35
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2022";0,01;0,26;0,34
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2023";0,01;0,32;0,46
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"The Netherlands";"2018";0,03;1,33;2,18
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"The Netherlands";"2019";0,03;1,35;2,19
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"The Netherlands";"2020";0,01;0,5;0,85
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"The Netherlands";"2021";0,01;0,36;0,63
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"The Netherlands";"2022";0,02;0,71;1,19
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Train";"Value";"The Netherlands";"2023";0,02;1,04;1,68
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2018";0,02;0,32;0,9
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2019";0,02;0,31;0,88
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2020";0,01;0,14;0,44
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2021";0,01;0,13;0,4
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2022";0,01;0,19;0,54
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bus/tram/metro";"Value";"The Netherlands";"2023";0,01;0,23;0,63
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2018";0,14;0,68;2,72
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2019";0,13;0,65;2,59
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2020";0,1;0,44;1,85
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2021";0,1;0,45;1,94
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2022";0,12;0,55;2,3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2023";0,12;0,57;2,31
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2018";0,02;0,06;0,29
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2019";0,02;0,06;0,29
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2020";0,02;0,03;0,21
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2021";0,02;0,03;0,22
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2022";0,02;0,04;0,26
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2023";0,02;0,05;0,32
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"The Netherlands";"2018";0,04;0,97;1,29
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"The Netherlands";"2019";0,04;0,78;1,09
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"The Netherlands";"2020";0,03;0,47;0,67
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"The Netherlands";"2021";0,03;0,6;0,8
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"The Netherlands";"2022";0,03;0,74;1
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"The Netherlands";"2023";0,03;0,53;0,79
